well_x,ARCHIVE,CBL_CANDIDATE,DDR_XML,DLIS,DOCS,LAS,LIS,SEGY,WELL_TECH,XML
15/9-F-1,0,0,1,1,1,1,0,0,1,1
15/9-F-1 A,0,0,0,1,1,1,0,0,0,0
15/9-F-1 B,0,0,0,1,1,1,0,0,0,0
15/9-F-1 C,1,0,0,1,1,1,0,0,0,0
15/9-F-10,0,0,1,1,1,1,1,0,1,1
15/9-F-11,0,0,1,1,1,1,0,0,1,1
15/9-F-11 A,1,0,0,1,1,1,0,0,0,0
15/9-F-11 B,1,0,0,1,1,1,0,0,0,0
15/9-F-11 T,0,0,0,1,1,1,0,1,0,0
15/9-F-12,1,1,1,1,1,1,1,0,1,1
15/9-F-13,0,0,0,0,1,0,0,0,1,0
15/9-F-14,1,0,1,1,1,1,1,0,1,1
15/9-F-15,0,0,1,1,1,1,1,0,1,1
15/9-F-15 A,0,0,0,1,1,1,1,1,0,0
15/9-F-15 B,0,0,0,1,1,1,1,0,0,0
15/9-F-15 C,0,0,0,1,1,1,1,0,0,0
15/9-F-15 D,1,0,0,1,1,1,0,0,0,0
15/9-F-15A,0,0,0,0,1,1,0,1,0,0
15/9-F-2,0,0,0,0,1,0,0,0,1,0
15/9-F-3,0,0,0,0,1,0,0,0,1,0
15/9-F-4,0,0,1,1,1,1,1,0,1,1
15/9-F-5,0,0,1,1,1,1,1,0,1,1
15/9-F-6,0,0,0,0,1,0,0,0,1,0
15/9-F-7,0,0,1,1,1,1,1,0,1,1
15/9-F-8,0,0,0,0,1,0,0,0,1,0
15/9-F-9,0,0,1,1,1,1,1,0,1,1
15/9-F-9 A,0,0,0,1,1,1,1,0,0,0
