well_x,ARCHIVE,CBL_CANDIDATE,DDR_XML,DLIS,DOCS,LAS,LIS,SEGY,WELL_TECH,XML
15/9-F-1,0,0,216,26,495,18,0,0,665,216
15/9-F-1 A,0,0,0,16,62,20,0,0,0,0
15/9-F-1 B,0,0,0,70,60,26,0,0,0,0
15/9-F-1 C,2,0,0,114,98,54,0,0,0,0
15/9-F-10,0,0,71,38,190,34,2,0,228,71
15/9-F-11,0,0,174,8,385,2,0,0,548,174
15/9-F-11 A,2,0,0,14,42,54,0,0,0,0
15/9-F-11 B,4,0,0,114,66,12,0,0,0,0
15/9-F-11 T,0,0,0,38,60,18,0,174,0,0
15/9-F-12,2,2,165,244,403,42,6,0,500,165
15/9-F-13,0,0,0,0,2,0,0,0,11,0
15/9-F-14,3,0,134,208,349,52,6,0,410,134
15/9-F-15,0,0,292,24,706,26,2,0,891,292
15/9-F-15 A,0,0,0,20,74,42,2,68,0,0
15/9-F-15 B,0,0,0,14,36,14,2,0,0,0
15/9-F-15 C,0,0,0,48,76,30,2,0,0,0
15/9-F-15 D,2,0,0,48,72,4,0,0,0,0
15/9-F-15A,0,0,0,0,3,1,0,34,0,0
15/9-F-2,0,0,0,0,2,0,0,0,10,0
15/9-F-3,0,0,0,0,2,0,0,0,7,0
15/9-F-4,0,0,130,90,329,46,6,0,396,130
15/9-F-5,0,0,103,58,269,60,2,0,314,103
15/9-F-6,0,0,0,0,1,0,0,0,1,0
15/9-F-7,0,0,39,4,113,12,6,0,122,39
15/9-F-8,0,0,0,0,2,0,0,0,6,0
15/9-F-9,0,0,60,10,163,4,2,0,189,60
15/9-F-9 A,0,0,0,8,48,8,2,0,0,0
